recharge_id,user_id,recharge_date,city,recharge_type,plan_type,payment_mode,recharge_amount
JIOREC000000,USER56117,2022-03-06,Hyderabad,Postpaid,Roaming Pack,UPI,598
JIOREC000001,USER60666,2023-02-06,Jaipur,Prepaid,Data Add-on,Retail Store,19
JIOREC000002,USER10082,2022-09-28,Ahmedabad,Prepaid,Annual,Debit Card,2995
JIOREC000003,USER41161,2023-06-20,Lucknow,Postpaid,Data Add-on,UPI,30
JIOREC000004,USER59042,2024-01-04,Pune,Postpaid,Roaming Pack,Debit Card,879
JIOREC000005,USER41276,2024-03-18,Mumbai,Prepaid,Annual,Net Banking,2797
JIOREC000006,USER60276,2023-06-05,Lucknow,Postpaid,Monthly,Debit Card,251
JIOREC000007,USER53890,2022-08-12,Ahmedabad,Prepaid,Data Add-on,Credit Card,61
JIOREC000008,USER47528,2024-06-19,Chennai,Postpaid,Annual,Debit Card,3300
JIOREC000009,USER73431,2022-11-16,Jaipur,Postpaid,Annual,UPI,3000
JIOREC000010,USER38958,2023-09-13,Delhi,Prepaid,Data Add-on,UPI,126
JIOREC000011,USER89104,2023-07-26,Bangalore,Postpaid,Monthly,UPI,251
JIOREC000012,USER20849,2022-03-18,Kolkata,Postpaid,Data Add-on,UPI,61
JIOREC000013,USER14349,2023-09-15,Kolkata,Postpaid,Annual,UPI,2675
JIOREC000014,USER37703,2022-12-21,Hyderabad,Prepaid,Quarterly,Debit Card,719
JIOREC000015,USER26761,2022-04-11,Bangalore,Postpaid,Roaming Pack,UPI,597
JIOREC000016,USER68185,2022-01-01,Delhi,Postpaid,Monthly,UPI,298
JIOREC000017,USER15466,2022-05-24,Bangalore,Postpaid,Quarterly,Wallet,719
JIOREC000018,USER83872,2023-08-04,Mumbai,Prepaid,Quarterly,UPI,703
JIOREC000019,USER54347,2023-10-13,Mumbai,Prepaid,Monthly,UPI,416
JIOREC000020,USER21611,2022-11-06,Mumbai,Postpaid,Quarterly,Retail Store,855
JIOREC000021,USER80108,2022-06-04,Lucknow,Postpaid,Roaming Pack,UPI,795
JIOREC000022,USER74389,2022-12-17,Lucknow,Prepaid,Monthly,Debit Card,399
JIOREC000023,USER49690,2023-08-01,Ahmedabad,Prepaid,Monthly,UPI,500
JIOREC000024,USER70458,2023-10-31,Ahmedabad,Prepaid,Data Add-on,Wallet,20
JIOREC000025,USER47700,2024-03-13,Ahmedabad,Prepaid,Quarterly,Debit Card,791
JIOREC000026,USER31878,2023-04-19,Mumbai,Prepaid,Data Add-on,Credit Card,127
JIOREC000027,USER93628,2023-07-12,Mumbai,Prepaid,Annual,Wallet,2680
JIOREC000028,USER81074,2023-05-10,Hyderabad,Prepaid,Monthly,Credit Card,503
JIOREC000029,USER88501,2023-05-04,Lucknow,Postpaid,Roaming Pack,UPI,628
JIOREC000030,USER99496,2022-07-29,Delhi,Prepaid,Roaming Pack,Credit Card,598
JIOREC000031,USER53614,2023-07-06,Pune,Prepaid,Monthly,UPI,504
JIOREC000032,USER57255,2022-02-21,Pune,Prepaid,Data Add-on,UPI,60
JIOREC000033,USER47974,2022-08-03,Ahmedabad,Postpaid,Data Add-on,Wallet,120
JIOREC000034,USER98407,2022-02-26,Bangalore,Postpaid,Monthly,Debit Card,198
JIOREC000035,USER69952,2023-06-17,Ahmedabad,Postpaid,Annual,Wallet,2667
JIOREC000036,USER32249,2023-03-10,Pune,Postpaid,Data Add-on,Debit Card,30
JIOREC000037,USER77270,2022-09-27,Pune,Prepaid,Roaming Pack,UPI,803
JIOREC000038,USER87936,2023-08-27,Jaipur,Postpaid,Roaming Pack,UPI,835
JIOREC000039,USER59416,2024-04-14,Mumbai,Prepaid,Roaming Pack,Credit Card,549
JIOREC000040,USER73563,2023-02-25,Mumbai,Prepaid,Data Add-on,Credit Card,30
JIOREC000041,USER62152,2022-01-05,Jaipur,Prepaid,Monthly,UPI,478
JIOREC000042,USER60380,2023-05-27,Ahmedabad,Postpaid,Monthly,UPI,502
JIOREC000043,USER21277,2024-03-19,Hyderabad,Postpaid,Roaming Pack,UPI,549
JIOREC000044,USER32915,2023-11-13,Ahmedabad,Postpaid,Data Add-on,UPI,19
JIOREC000045,USER76274,2022-12-02,Hyderabad,Prepaid,Annual,UPI,2879
JIOREC000046,USER27368,2023-12-31,Ahmedabad,Postpaid,Monthly,Credit Card,313
JIOREC000047,USER22151,2023-01-01,Mumbai,Postpaid,Roaming Pack,Retail Store,524
JIOREC000048,USER77606,2023-10-22,Chennai,Postpaid,Annual,UPI,3154
JIOREC000049,USER83682,2022-03-05,Kolkata,Prepaid,Data Add-on,Credit Card,28
JIOREC000050,USER72136,2022-01-08,Jaipur,Postpaid,Roaming Pack,Credit Card,499
JIOREC000051,USER82663,2023-01-19,Delhi,Postpaid,Monthly,UPI,250
JIOREC000052,USER41324,2024-05-14,Bangalore,Prepaid,Quarterly,UPI,931
JIOREC000053,USER31680,2022-03-21,Delhi,Prepaid,Roaming Pack,Credit Card,600
JIOREC000054,USER25963,2023-03-01,Kolkata,Prepaid,Annual,UPI,2674
JIOREC000055,USER23358,2022-02-06,Chennai,Prepaid,Annual,Credit Card,2547
JIOREC000056,USER96952,2023-03-16,Lucknow,Postpaid,Roaming Pack,UPI,838
JIOREC000057,USER67556,2023-03-23,Hyderabad,Postpaid,Monthly,UPI,251
JIOREC000058,USER16431,2023-09-07,Hyderabad,Prepaid,Data Add-on,Credit Card,19
JIOREC000059,USER53865,2023-03-24,Mumbai,Postpaid,Quarterly,Debit Card,891
